TimeDate,RAW
5:44:55 AM 7/10/2021,-10
5:44:55 AM 7/10/2021,4
5:44:55 AM 7/10/2021,11
5:44:55 AM 7/10/2021,-12
5:44:55 AM 7/10/2021,-58
5:44:55 AM 7/10/2021,-81
5:44:55 AM 7/10/2021,-74
5:44:55 AM 7/10/2021,-90
5:44:55 AM 7/10/2021,-104
5:44:55 AM 7/10/2021,-82
5:44:55 AM 7/10/2021,-69
5:44:55 AM 7/10/2021,-70
5:44:55 AM 7/10/2021,-85
5:44:55 AM 7/10/2021,-113
5:44:55 AM 7/10/2021,-135
5:44:55 AM 7/10/2021,-2
5:44:55 AM 7/10/2021,22
5:44:55 AM 7/10/2021,76
5:44:55 AM 7/10/2021,40
5:44:55 AM 7/10/2021,51
5:44:55 AM 7/10/2021,41
5:44:55 AM 7/10/2021,58
5:44:55 AM 7/10/2021,55
5:44:55 AM 7/10/2021,22
5:44:55 AM 7/10/2021,0
5:44:55 AM 7/10/2021,-9
5:44:55 AM 7/10/2021,5
5:44:55 AM 7/10/2021,35
5:44:55 AM 7/10/2021,49
5:44:55 AM 7/10/2021,49
5:44:55 AM 7/10/2021,50
5:44:55 AM 7/10/2021,51
5:44:55 AM 7/10/2021,57
5:44:55 AM 7/10/2021,59
5:44:55 AM 7/10/2021,38
5:44:55 AM 7/10/2021,8
5:44:55 AM 7/10/2021,4
5:44:55 AM 7/10/2021,23
5:44:55 AM 7/10/2021,54
5:44:55 AM 7/10/2021,77
5:44:55 AM 7/10/2021,65
5:44:55 AM 7/10/2021,41
5:44:55 AM 7/10/2021,36
5:44:55 AM 7/10/2021,44
5:44:55 AM 7/10/2021,41
5:44:55 AM 7/10/2021,17
5:44:55 AM 7/10/2021,-2
5:44:55 AM 7/10/2021,-7
5:44:55 AM 7/10/2021,0
5:44:55 AM 7/10/2021,23
5:44:55 AM 7/10/2021,39
5:44:55 AM 7/10/2021,42
5:44:55 AM 7/10/2021,18
5:44:55 AM 7/10/2021,-14
5:44:55 AM 7/10/2021,-36
5:44:55 AM 7/10/2021,-26
5:44:55 AM 7/10/2021,16
5:44:55 AM 7/10/2021,7
5:44:55 AM 7/10/2021,-46
5:44:55 AM 7/10/2021,-67
5:44:55 AM 7/10/2021,-26
5:44:55 AM 7/10/2021,9
5:44:55 AM 7/10/2021,-9
5:44:55 AM 7/10/2021,-50
5:44:55 AM 7/10/2021,-53
5:44:55 AM 7/10/2021,-40
5:44:55 AM 7/10/2021,-25
5:44:55 AM 7/10/2021,-23
5:44:55 AM 7/10/2021,-33
5:44:55 AM 7/10/2021,-35
5:44:55 AM 7/10/2021,-21
5:44:55 AM 7/10/2021,7
5:44:55 AM 7/10/2021,37
5:44:55 AM 7/10/2021,40
5:44:55 AM 7/10/2021,-10
5:44:55 AM 7/10/2021,-44
5:44:55 AM 7/10/2021,-44
5:44:55 AM 7/10/2021,-20
5:44:55 AM 7/10/2021,2
